,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Sales
26,536370,22728,ALARM CLOCK BAKELIKE PINK,24,12/1/2010 8:45,3.75,12583.0,France,90.0
27,536370,22727,ALARM CLOCK BAKELIKE RED ,24,12/1/2010 8:45,3.75,12583.0,France,90.0
28,536370,22726,ALARM CLOCK BAKELIKE GREEN,12,12/1/2010 8:45,3.75,12583.0,France,45.0
149,536382,22726,ALARM CLOCK BAKELIKE GREEN,4,12/1/2010 9:45,3.75,16098.0,United Kingdom,15.0
204,536389,22193,RED DINER WALL CLOCK,2,12/1/2010 10:03,8.5,12431.0,Australia,17.0
205,536389,22726,ALARM CLOCK BAKELIKE GREEN,4,12/1/2010 10:03,3.75,12431.0,Australia,15.0
206,536389,22727,ALARM CLOCK BAKELIKE RED ,4,12/1/2010 10:03,3.75,12431.0,Australia,15.0
207,536389,22192,BLUE DINER WALL CLOCK,2,12/1/2010 10:03,8.5,12431.0,Australia,17.0
208,536389,22191,IVORY DINER WALL CLOCK,2,12/1/2010 10:03,8.5,12431.0,Australia,17.0
271,536395,22730,ALARM CLOCK BAKELIKE IVORY,4,12/1/2010 10:47,3.75,13767.0,United Kingdom,15.0
272,536395,22727,ALARM CLOCK BAKELIKE RED ,8,12/1/2010 10:47,3.75,13767.0,United Kingdom,30.0
273,536395,22729,ALARM CLOCK BAKELIKE ORANGE,8,12/1/2010 10:47,3.75,13767.0,United Kingdom,30.0
274,536395,22726,ALARM CLOCK BAKELIKE GREEN,8,12/1/2010 10:47,3.75,13767.0,United Kingdom,30.0
1225,536531,22727,ALARM CLOCK BAKELIKE RED ,9,12/1/2010 13:23,3.75,15485.0,United Kingdom,33.75
1226,536531,22726,ALARM CLOCK BAKELIKE GREEN,9,12/1/2010 13:23,3.75,15485.0,United Kingdom,33.75
1227,536531,22730,ALARM CLOCK BAKELIKE IVORY,9,12/1/2010 13:23,3.75,15485.0,United Kingdom,33.75
1230,536531,22194,BLACK DINER WALL CLOCK,2,12/1/2010 13:23,8.5,15485.0,United Kingdom,17.0
1231,536531,22192,BLUE DINER WALL CLOCK,4,12/1/2010 13:23,8.5,15485.0,United Kingdom,34.0
1232,536531,22193,RED DINER WALL CLOCK,4,12/1/2010 13:23,8.5,15485.0,United Kingdom,34.0
1233,536531,22191,IVORY DINER WALL CLOCK,4,12/1/2010 13:23,8.5,15485.0,United Kingdom,34.0
1647,536544,22727,ALARM CLOCK BAKELIKE RED ,2,12/1/2010 14:32,7.62,,United Kingdom,15.24
1648,536544,22728,ALARM CLOCK BAKELIKE PINK,1,12/1/2010 14:32,7.62,,United Kingdom,7.62
1649,536544,22729,ALARM CLOCK BAKELIKE ORANGE,2,12/1/2010 14:32,7.62,,United Kingdom,15.24
1650,536544,22730,ALARM CLOCK BAKELIKE IVORY,1,12/1/2010 14:32,7.62,,United Kingdom,7.62
2057,536557,22730,ALARM CLOCK BAKELIKE IVORY,1,12/1/2010 14:41,3.75,17841.0,United Kingdom,3.75
2334,536578,22726,ALARM CLOCK BAKELIKE GREEN,4,12/1/2010 16:15,3.75,17690.0,United Kingdom,15.0
2335,536578,22728,ALARM CLOCK BAKELIKE PINK,4,12/1/2010 16:15,3.75,17690.0,United Kingdom,15.0
2336,536578,22729,ALARM CLOCK BAKELIKE ORANGE,4,12/1/2010 16:15,3.75,17690.0,United Kingdom,15.0
2368,536586,22726,ALARM CLOCK BAKELIKE GREEN,8,12/1/2010 16:25,3.75,18229.0,United Kingdom,30.0
2369,536586,22728,ALARM CLOCK BAKELIKE PINK,8,12/1/2010 16:25,3.75,18229.0,United Kingdom,30.0
2370,536586,22725,ALARM CLOCK BAKELIKE CHOCOLATE,4,12/1/2010 16:25,3.75,18229.0,United Kingdom,15.0
2371,536586,22729,ALARM CLOCK BAKELIKE ORANGE,4,12/1/2010 16:25,3.75,18229.0,United Kingdom,15.0
2372,536586,22730,ALARM CLOCK BAKELIKE IVORY,4,12/1/2010 16:25,3.75,18229.0,United Kingdom,15.0
2797,536592,22726,ALARM CLOCK BAKELIKE GREEN,2,12/1/2010 17:06,7.62,,United Kingdom,15.24
2958,536592,84659A,WHITE TRAVEL ALARM CLOCK,3,12/1/2010 17:06,2.51,,United Kingdom,7.529999999999999
2959,536592,84663A,GRASS HOPPER WOODEN WALL CLOCK ,1,12/1/2010 17:06,5.91,,United Kingdom,5.91
3113,536599,22727,ALARM CLOCK BAKELIKE RED ,4,12/2/2010 7:49,3.75,15694.0,United Kingdom,15.0
3114,536599,22726,ALARM CLOCK BAKELIKE GREEN,12,12/2/2010 7:49,3.75,15694.0,United Kingdom,45.0
3388,536624,22727,ALARM CLOCK BAKELIKE RED ,24,12/2/2010 10:45,3.75,13418.0,United Kingdom,90.0
3389,536624,22726,ALARM CLOCK BAKELIKE GREEN,24,12/2/2010 10:45,3.75,13418.0,United Kingdom,90.0
3390,536624,22730,ALARM CLOCK BAKELIKE IVORY,8,12/2/2010 10:45,3.75,13418.0,United Kingdom,30.0
3391,536624,22725,ALARM CLOCK BAKELIKE CHOCOLATE,8,12/2/2010 10:45,3.75,13418.0,United Kingdom,30.0
3488,536633,22728,ALARM CLOCK BAKELIKE PINK,4,12/2/2010 11:20,3.75,14901.0,United Kingdom,15.0
3489,536633,22730,ALARM CLOCK BAKELIKE IVORY,4,12/2/2010 11:20,3.75,14901.0,United Kingdom,15.0
3751,536672,22729,ALARM CLOCK BAKELIKE ORANGE,4,12/2/2010 12:10,3.75,14491.0,United Kingdom,15.0
4033,536743,22729,ALARM CLOCK BAKELIKE ORANGE,1,12/2/2010 13:32,3.75,17964.0,United Kingdom,3.75
4324,536762,22727,ALARM CLOCK BAKELIKE RED ,4,12/2/2010 14:40,3.75,16186.0,United Kingdom,15.0
